1,Cleveland, OH
2,Orlando, FL
3,Chicago, IL
4,Miami, FL
5,Milwaukee, WI
6,Minneapolis/St. Paul, MN
7,New Orleans, LA
8,Omaha, NE
9,Norfolk, VA
10,West Palm Beach/Palm Beach, FL
11,Philadelphia, PA
12,Phoenix, AZ
13,Pittsburgh, PA
14,Raleigh/Durham, NC
15,Rochester, NY
16,Ft. Myers, FL
17,Louisville, KY
18,San Francisco, CA
19,Sarasota/Bradenton, FL
20,St. Louis, MO
21,Syracuse, NY
22,Tampa, FL
23,Knoxville, TN
24,Port Angeles, WA
25,Portland, OR
26,Seattle, WA
27,Yakima, WA
28,Charlotte, NC
29,Augusta, GA
30,Atlanta, GA
31,Asheville, NC
32,Hartford, CT
33,Birmingham, AL
34,Nashville, TN
35,Boston, MA
36,Baltimore, MD
37,Columbia, SC
38,Chattanooga, TN
39,Charlottesville, VA
40,Charleston, SC
41,Columbus, OH
42,Charleston/Dunbar, WV
43,Cincinnati, OH
44,Daytona Beach, FL
45,Dayton, OH
46,Washington, DC
47,Denver, CO
48,Dallas/Ft.Worth, TX
49,Detroit, MI
50,Newark, NJ
51,Fayetteville, NC
52,Fort Lauderdale, FL
53,Gainesville, FL
54,Greensboro/High Point, NC
55,Greenville/Spartanburg, SC
56,Ashland, WV
57,Houston, TX
58,Wilmington, NC
59,Indianapolis, IN
60,Kinston, NC
61,Jacksonville, FL
62,New York, NY
63,Las Vegas, NV
64,Los Angeles, CA
65,Lexington/Frankfort, KY
66,Lynchburg, VA
67,Kansas City, MO
68,Memphis, TN
69,Melbourne, FL
70,Myrtle Beach, SC
71,Jacksonville/Camp Lejeune, NC
72,Pensacola, FL
73,Providence, RI
74,Richmond, VA
75,Roanoke, VA
76,San Antonio, TX
77,Savannah, GA
78,San Juan, PR
79,Tallahassee, FL
80,Bristol/Kngsprt/Jhnsn Cty, TN
81,Huntsville, AL
82,Harrisburg, PA
83,Champaign/Urbana, IL
84,Fort Wayne, IN
85,Peoria, IL
86,Colorado Springs, CO
87,Gunnison, CO
88,Wichita, KS
89,Pueblo, CO
90,Salt Lake City, UT
91,Casper, WY
92,Rapid City, SD
93,Corpus Christi, TX
94,Dallas, TX
95,Columbus, GA
96,Austin, TX
97,Jackson/Vicksburg, MS
98,Little Rock, AR
99,Portland, ME
100,International Airport, CA
101,Wausau/Marshfield, WI
102,Appleton, WI
103,Green Bay/Clintonville, WI
104,Oshkosh, WI
105,Albuquerque, NM
106,Amarillo, TX
107,El Paso, TX
108,Lubbock, TX
109,Midland/Odessa, TX
110,Oklahoma City, OK
111,Tulsa, OK
112,Albany, NY
113,Anchorage, AK
114,Kalamazoo, MI
115,Akron/Canton, OH
116,Chicopee Falls, MA
117,Evansville, IN
118,Flint, MI
119,Grand Rapids, MI
120,Lansing, MI
121,South Bend, IN
122,Toledo, OH
123,Burlington, VT
124,Buffalo, NY
125,Islip, NY
126,Mobile, AL
127,Abilene, TX
128,Aspen, CO
129,Billings, MT
130,Bismarck/Mandan, ND
131,Boise, ID
132,Baton Rouge, LA
133,Burbank, CA
134,Bozeman, MT
135,Cedar Rapids/Iowa City, IA
136,Durango, CO
137,Des Moines, IA
138,Eugene, OR
139,Fargo, ND
140,Fresno, CA
141,Farmington, NM
142,Sioux Falls, SD
143,Gillette, WY
144,Spokane, WA
145,Grand Junction, CO
146,Great Falls, MT
147,Honolulu, HI
148,Idaho Falls, ID
149,Jackson, WY
150,Long Beach, CA
151,Lincoln, NE
152,Moline, IL
153,Madison, WI
154,Missoula, MT
155,Montrose/Delta, CO
156,Oakland, CA
157,Ontario/San Bernardino, CA
158,Indio/Palm Springs, CA
159,Reno, NV
160,Santa Barbara, CA
161,Springfield, MO
162,San Jose, CA
163,Sacramento, CA
164,Santa Ana, CA
165,Tucson, AZ
166,Bakersfield, CA
167,Steamboat Springs/Hayden, CO
168,Harlingen/San Benito, TX
169,Monroe, LA
170,Shreveport, LA
171,Dillingham, AK
172,King Salmon, AK
173,Duluth, MN
174,Allentown/Bethlehem/Easton, PA
175,Bangor, ME
176,White Plains, NY
177,Saginaw/Bay City/Midland, MI
178,Worcester, MA
179,Sioux City, IA
180,Traverse City, MI
181,Dutch Harbor, AK
182,Fairbanks, AK
183,Wenatchee, WA
184,Moses Lake, WA
185,Eagle, CO
186,Elmira/Corning, NY
187,Scranton/Wilkes-Barre, PA
188,Ithaca/Cortland, NY
189,Erie, PA
190,Klamath Falls, OR
191,Medford, OR
192,Monterey, CA
193,North Bend/Coos Bay, OR
194,Modesto, CA
195,Minot, ND
196,La Crosse, WI
197,Kalispell, MT
198,Helena, MT
199,Grand Forks, ND
200,Rochester, MN
201,Ogden, UT
202,Kahului, HI
203,Hilo, HI
204,Kona, HI
205,Lihue, HI
206,Lanai, HI
207,Hoolehua, HI
208,Nome, AK
209,Kotzebue, AK
210,Manchester, NH
211,Rhinelander, WI
212,Salem, OR
213,Oxnard/Ventura, CA
214,Everett, WA
215,Pendleton, OR
216,Walla Walla, WA
217,Pasco/Kennewick/Richland, WA
218,Bellingham, WA
219,Brownsville, TX
220,Bend/Redmond, OR
221,Newport News/Hampton, VA
222,Flagstaff, AZ
223,Air Force 42, CA
224,Concord, CA
225,Merced, CA
226,Stockton, CA
227,Santa Rosa, CA
228,Sun Valley/Hailey/Ketchum, ID
229,Twin Falls, ID
230,Lafayette, LA
231,Kapalua, HI
232,Lewiston, ID
233,Pullman, WA
234,Mcgrath, AK
235,Macon, GA
236,Valparaiso, FL
237,Reading, PA
238,Clearfld/Philisbg/Bellefnte, PA
239,Gulfport/Biloxi, MS
240,Mission/Mcallen/Edinburg, TX
241,Montgomery, AL
242,Key West, FL
243,Charlotte Amalie, VI
244,Christiansted, VI
245,Eureka/Arcata, CA
246,Crescent City, CA
247,Atlantic City, NJ
248,Adak Island, AK
249,Cold Bay, AK
250,Shemya, AK
251,Kodiak, AK
252,Port Heiden, AK
253,Aniak, AK
254,Bethel, AK
255,Cordova, AK
256,Juneau, AK
257,Prudhoe Bay/Deadhorse, AK
258,Sandpoint, AK
259,Sitka, AK
260,St. Paul, AK
261,Unalakleet, AK
262,Yakutat, AK
263,St. Mary's, AK
264,Binghamton/Endct/Jhnsn Cty, NY
265,Butte, MT
266,Pocatello, ID
267,Newburgh/Poughkeepsie, NY
268,Barrow, AK
269,Utica/Rome, NY
270,Youngstown, OH
271,Chico, CA
272,Yuma, AZ
273,Pago Pago, TT
274,Petersburg, AK
275,Ketchikan, AK
276,Wrangell, AK
277,Redding, CA
278,Lake Tahoe, CA
279,Rota, TT
280,Guam, TT
281,Saipan, TT
282,Koror, TT
283,San Luis Obispo/Paso Robls, CA
284,Santa Maria, CA
285,Sheridan, WY
286,Scammon Bay, AK
287,Galena, AK
288,Johnston Island, TT
289,Grand Canyon, AZ
290,Kenai, AK
291,Tinian, TT
292,Rockford, IL
293,Wichita Falls, TX
294,Rifle, CO
295,Cheyenne, WY
296,Montgomery, NY
297,Niagara Falls, NY
298,Columbia/Jefferson City, MO
299,Springfield, IL
300,Valdez, AK
301,Amchitka Island, AK
302,Bedford, MA
303,Topeka, KS
304,Gustavus, AK
305,Aguadilla, PR
306,St. Petersburg, FL
307,Newport News/Williamsburg, VA
308,Roosevelt Roads, PR
309,Terre Haute, IN
310,Staunton, VA
311,Mayaguez, PR
312,Grandview, MO
313,Ponce, PR
314,New Bern/Morehead/Beaufort, NC
315,Greenville, NC
316,Roswell, NM
317,Prudhoe Bay, AK
318,Midway Island, TT
319,Wake Island, TT
320,Kemmerer, WY
321,Elko, NV
322,East Hampton, NY
323,Scottsbluff, NE
324,Homer, AK
325,Waco, TX
326,Nassau, Bahamas
327,Montreal, Canada
328,Toronto, Canada
329,Victoria, Canada
330,Cali, Colombia
331,Can Cun, Mexico
332,East Midlands, United Kingdom
333,London, United Kingdom
334,Casablanca, Morocco
335,Cairns, Australia
336,Copenhagen, Denmark
337,Cartagena, Colombia
338,Sapporo, Japan
339,Curacao, Netherlands Antilles
340,Frankfurt, Germany
341,Montego Bay, Jamaica
342,Monterrey, Mexico
343,Christmas Island, Kiribati (Gilbert and Canton Islands)
344,Cozumel, Mexico
345,Hamilton, Canada
346,Ottawa, Canada
347,Ciudad Juarez, Mexico
348,Manchester, United Kingdom
349,Mexico City, Mexico
350,Mazatlan, Mexico
351,San Jose Del Cabo, Mexico
